"12ap -- Kuolleisuus- ja eloonj‰‰mislukuja i‰n ja sukupuolen mukaan, 1986-2020"

"Sukupuoli";"Ik‰";"Tiedot";"2020"
"Naiset";"10";"Kuolemanvaara, promillea";0.06
"Naiset";"11";"Kuolemanvaara, promillea";0.10
"Naiset";"12";"Kuolemanvaara, promillea";0.03
"Naiset";"13";"Kuolemanvaara, promillea";0.13
"Naiset";"14";"Kuolemanvaara, promillea";0.03
"Naiset";"15";"Kuolemanvaara, promillea";0.17
"Naiset";"16";"Kuolemanvaara, promillea";0.27
"Naiset";"17";"Kuolemanvaara, promillea";0.31
"Naiset";"18";"Kuolemanvaara, promillea";0.42
"Naiset";"19";"Kuolemanvaara, promillea";0.07
"Naiset";"20";"Kuolemanvaara, promillea";0.17
"Naiset";"21";"Kuolemanvaara, promillea";0.31
"Naiset";"22";"Kuolemanvaara, promillea";0.57
"Naiset";"23";"Kuolemanvaara, promillea";0.23
"Naiset";"24";"Kuolemanvaara, promillea";0.25
"Naiset";"25";"Kuolemanvaara, promillea";0.30
"Naiset";"26";"Kuolemanvaara, promillea";0.47
"Naiset";"27";"Kuolemanvaara, promillea";0.35
"Naiset";"28";"Kuolemanvaara, promillea";0.26
"Naiset";"29";"Kuolemanvaara, promillea";0.31
"Naiset";"30";"Kuolemanvaara, promillea";0.37
"Naiset";"31";"Kuolemanvaara, promillea";0.37
"Naiset";"32";"Kuolemanvaara, promillea";0.50
"Naiset";"33";"Kuolemanvaara, promillea";0.36
"Naiset";"34";"Kuolemanvaara, promillea";0.50
"Naiset";"35";"Kuolemanvaara, promillea";0.54
"Naiset";"36";"Kuolemanvaara, promillea";0.45
"Naiset";"37";"Kuolemanvaara, promillea";0.56
"Naiset";"38";"Kuolemanvaara, promillea";0.49
"Naiset";"39";"Kuolemanvaara, promillea";0.53
"Naiset";"40";"Kuolemanvaara, promillea";0.50
"Naiset";"41";"Kuolemanvaara, promillea";0.59
"Naiset";"42";"Kuolemanvaara, promillea";0.97
"Naiset";"43";"Kuolemanvaara, promillea";0.65
"Naiset";"44";"Kuolemanvaara, promillea";1.01
"Naiset";"45";"Kuolemanvaara, promillea";0.92
"Naiset";"46";"Kuolemanvaara, promillea";1.34
"Naiset";"47";"Kuolemanvaara, promillea";0.95
"Naiset";"48";"Kuolemanvaara, promillea";1.34
"Naiset";"49";"Kuolemanvaara, promillea";1.54
"Naiset";"50";"Kuolemanvaara, promillea";1.39
"Naiset";"51";"Kuolemanvaara, promillea";1.52
"Naiset";"52";"Kuolemanvaara, promillea";1.77
"Naiset";"53";"Kuolemanvaara, promillea";2.02
"Naiset";"54";"Kuolemanvaara, promillea";2.25
"Naiset";"55";"Kuolemanvaara, promillea";2.77
"Naiset";"56";"Kuolemanvaara, promillea";2.42
"Naiset";"57";"Kuolemanvaara, promillea";3.07
"Naiset";"58";"Kuolemanvaara, promillea";2.84
"Naiset";"59";"Kuolemanvaara, promillea";4.15
"Naiset";"60";"Kuolemanvaara, promillea";3.66
"Naiset";"61";"Kuolemanvaara, promillea";4.71
"Naiset";"62";"Kuolemanvaara, promillea";4.22
"Naiset";"63";"Kuolemanvaara, promillea";5.03
"Naiset";"64";"Kuolemanvaara, promillea";5.77
"Naiset";"65";"Kuolemanvaara, promillea";6.33
"Naiset";"66";"Kuolemanvaara, promillea";6.86
"Naiset";"67";"Kuolemanvaara, promillea";7.66
"Naiset";"68";"Kuolemanvaara, promillea";9.22
"Naiset";"69";"Kuolemanvaara, promillea";9.92
"Naiset";"70";"Kuolemanvaara, promillea";10.40
"Naiset";"71";"Kuolemanvaara, promillea";10.93
"Naiset";"72";"Kuolemanvaara, promillea";12.85
"Naiset";"73";"Kuolemanvaara, promillea";13.70
"Naiset";"74";"Kuolemanvaara, promillea";17.78
"Naiset";"75";"Kuolemanvaara, promillea";15.72
"Naiset";"76";"Kuolemanvaara, promillea";19.07
"Naiset";"77";"Kuolemanvaara, promillea";22.59
"Naiset";"78";"Kuolemanvaara, promillea";25.13
"Naiset";"79";"Kuolemanvaara, promillea";27.41
"Naiset";"80";"Kuolemanvaara, promillea";33.22
"Naiset";"81";"Kuolemanvaara, promillea";37.49
"Naiset";"82";"Kuolemanvaara, promillea";43.33
"Naiset";"83";"Kuolemanvaara, promillea";48.34
"Naiset";"84";"Kuolemanvaara, promillea";58.65
"Naiset";"85";"Kuolemanvaara, promillea";67.27
"Naiset";"86";"Kuolemanvaara, promillea";74.09
"Naiset";"87";"Kuolemanvaara, promillea";86.85
"Naiset";"88";"Kuolemanvaara, promillea";102.04
"Naiset";"89";"Kuolemanvaara, promillea";109.16
"Naiset";"90";"Kuolemanvaara, promillea";128.58
"Naiset";"91";"Kuolemanvaara, promillea";153.18
"Naiset";"92";"Kuolemanvaara, promillea";159.48
"Naiset";"93";"Kuolemanvaara, promillea";188.76
"Naiset";"94";"Kuolemanvaara, promillea";210.92
"Naiset";"95";"Kuolemanvaara, promillea";242.26
"Naiset";"96";"Kuolemanvaara, promillea";265.65
"Naiset";"97";"Kuolemanvaara, promillea";291.38
"Naiset";"98";"Kuolemanvaara, promillea";306.62
"Naiset";"99";"Kuolemanvaara, promillea";331.46
"Naiset";"100";"Kuolemanvaara, promillea";.
